created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 15 07:33:31 +0000 2023;1735563721773383920;"@SFTC_ Gua bisa beli 2 kaos musisi di taun ini, dan juga dateng ke We The Fest 2023 untuk ngincer the 1975, tapi gajadi manggung gara2 Matty problematik, gantinya nonton Sheila on 7 &amp  Porter Robinson";0;0;0;1;in;3011321275;1735551006057046246;yusronell;https://twitter.com/yusronell/status/1735563721773383920
Thu Dec 14 13:50:09 +0000 2023;1735296118517547178;"@nayeonyny_s iya pas wethefest! jujur aku iri bgt sm org org😭😭 soalnya di pikiranku no one knows troye more that i do [tantrum lantaran troye sivan no #1 di spotify selama 5 tahun]";0;1;0;0;in;1653591473164812294;1735227065581044179;scyamane;https://twitter.com/scyamane/status/1735296118517547178
Thu Dec 14 12:01:58 +0000 2023;1735268895127441919;"tahun ini udah konser: 1. keshi 2. cigs aft sex 3. wethefest (batal si) 4. bruno major 5. vierra 6. twice scarlett 7. red velvet lazada 8. twice ready to be  kata gw si gws";0;0;0;0;in;1469545929636155392;1735268608518013074;noacflyn;https://twitter.com/noacflyn/status/1735268895127441919
Thu Dec 14 10:02:27 +0000 2023;1735238817232335198;"can't get over me not making it to We The Fest this year to see PORTER, DANIEL, ANDY  FUCKKKK";0;1;0;0;en;122631409;1735238817232335198;mangoojul;https://twitter.com/mangoojul/status/1735238817232335198
Thu Dec 14 04:57:43 +0000 2023;1735162128854876502;"Tadinya mau ku bales di Senayan, kak Ku kira We The Fest 🤣";0;1;0;0;in;97197603;1735162128854876502;outsidehitter_;https://twitter.com/outsidehitter_/status/1735162128854876502
Wed Dec 13 09:06:59 +0000 2023;1734862469204770886;"We the fest tahun depan undang paramore bisa lah ya";0;0;0;0;in;1558447308437565440;1734862469204770886;lupatertawa;https://twitter.com/lupatertawa/status/1734862469204770886
Wed Dec 13 09:04:40 +0000 2023;1734861887962288496;"my ultimate bucket-list for sal’s upcoming gigs on 2024:  ✮ prambanan jazz fest ✮ java jazz fest ✮ pestapora ✮ we the fest  aamiin aamiin aamiin, manifesting! siap war ticket semuanya❤️‍🔥🏁 https://t.co/Wd1fW3NTdu";2;11;36;396;en;1669377962515521537;1734861887962288496;noturmillie;https://twitter.com/noturmillie/status/1734861887962288496
Tue Dec 12 08:18:56 +0000 2023;1734487988464415196;"@ofjangkiy What the fxk? We the fest?";0;1;0;0;en;2757618868;1734472179230900499;lilbunniys;https://twitter.com/lilbunniys/status/1734487988464415196
Sat Dec 09 17:03:30 +0000 2023;1733532835942965417;"We The Fest 2018, ini konser festival pertama yang gue datengin. wkt itu artisnya James Bay, langsung gaabis pikir lg beli trus beli ditemen dapet harga 250 untuk 1 hari LGSG SENENG BGTTTT, trus nangis brutal sih dengerin james bay nyanyi huhu soalnya nostalgic bgt....";0;0;0;0;in;1477498748792045569;1733525244953116804;notcalestya;https://twitter.com/notcalestya/status/1733532835942965417
Sat Dec 09 15:18:11 +0000 2023;1733506331821449682;"imi di we the fest apa imi di asian sound syndicate mari kita buka kelas diskusi malam ini";0;2;0;1;in;1114138070;1733506331821449682;buzzerjookyun;https://twitter.com/buzzerjookyun/status/1733506331821449682
Fri Dec 08 17:20:26 +0000 2023;1733174709511209310;"PENTING banget.  kayak DWP We The Fest A.S.S  apalagi acara acara festival?  orang2 tuh selalu nungguin acara kayak gini karena brandingnya udah kuat   LAH ELU branding gak kuat tapi ngulang dari 0 mulu. gimana mau sukses acara nya";0;1;0;0;in;1291198099617062913;1733116494169719259;wedokbetawi;https://twitter.com/wedokbetawi/status/1733174709511209310
