created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 30 23:59:07 +0000 2023;1741247573959070011;"@alexarumberg Superbowl 40 was on my 13th birthday lol best present ever";0;0;0;0;en;410547171;1741107687440429355;InternetTre_;https://twitter.com/InternetTre_/status/1741247573959070011
Sat Dec 30 23:58:24 +0000 2023;1741247394598027492;"@goongoon96 @VBSofficial_ Says the week 4 superbowl champ";0;1;0;0;en;1338036116;1741209680712544406;thezrowehero;https://twitter.com/thezrowehero/status/1741247394598027492
Sat Dec 30 23:58:13 +0000 2023;1741247350218395850;"@RespectMyCos Of coarse.   I dontt give  a shit .  We all know  russ isnt HIM and we all know he isnt winning another superbowl .  Have fun in washington";0;0;0;1;en;1224799692149542912;1741213983418490976;2021_Chacon;https://twitter.com/2021_Chacon/status/1741247350218395850
Sat Dec 30 23:57:47 +0000 2023;1741247240352469110;"Animals be in the wild really just eating they food and have no drink with it at all.";0;1;0;4;en;103626347;1741247240352469110;lumer13;https://twitter.com/lumer13/status/1741247240352469110
Sat Dec 30 23:57:20 +0000 2023;1741247124988178661;"Of the #SuperBowl teams @PatrickE_Vegas talks about in an @VegasInsider it is really getting time to think about which fanbases we want to see in #LasVegas for #VegasBigGame weekend. Normally we think about the impact from fanbases who bet and gamble, but this year is differernt.";0;0;0;0;en;104275191;1741247124988178661;VegasBigGame;https://twitter.com/VegasBigGame/status/1741247124988178661
Sat Dec 30 23:57:06 +0000 2023;1741247069354885479;"@NFLonFOX They have been pushing for a eagles ravens Superbowl I've noticed it since week 7";0;0;1;1;en;1639802648399425536;1741187401458872360;Franknstein1918;https://twitter.com/Franknstein1918/status/1741247069354885479
Sat Dec 30 23:56:02 +0000 2023;1741246801410245104;"@NFL What does the DRAFT look like for the players of Toledo or Wyoming.....the Chicago Bears need to be analyzing THESE players!!!! Toledo can take the Bears to the Superbowl!!! I'm just sayn' (LOL)";0;0;0;2;en;1714047596354777094;1741246801410245104;hunter_eve33461;https://twitter.com/hunter_eve33461/status/1741246801410245104
Sat Dec 30 23:50:30 +0000 2023;1741245407613616211;"The top two franchises that deserve a Superbowl in the next 5 years  1. Steelers 2. Patriots  Both of these franchises are dying for some success. https://t.co/R0UJTjyqVo";4;65;9;541;en;1350564062;1741245407613616211;Gaige_Rage;https://twitter.com/Gaige_Rage/status/1741245407613616211
Sat Dec 30 23:50:26 +0000 2023;1741245390211477627;"@MySportsUpdate @The33rdTeamFB Cowboys 27-23";0;0;0;0;en;832286079478800384;1741242839046955425;JTrel11;https://twitter.com/JTrel11/status/1741245390211477627
Sat Dec 30 23:50:25 +0000 2023;1741245386969264189;"@SuperBowl I think Ciara should strongly be considered for the future";0;0;0;0;en;219137097;1741245386969264189;Baesicc_21;https://twitter.com/Baesicc_21/status/1741245386969264189
